date,new_deaths
02.03.20,0.0
03.03.20,0.0
04.03.20,0.0
05.03.20,0.0
06.03.20,0.0
07.03.20,0.0
08.03.20,0.0
09.03.20,0.0
10.03.20,0.0
11.03.20,0.0
12.03.20,0.0
13.03.20,0.0
14.03.20,0.0
15.03.20,0.0
16.03.20,0.0
17.03.20,1.0
18.03.20,1.0
19.03.20,1.0
20.03.20,3.0
21.03.20,6.0
22.03.20,2.0
23.03.20,9.0
24.03.20,10.0
25.03.20,10.0
26.03.20,17.0
27.03.20,16.0
28.03.20,24.0
29.03.20,19.0
30.03.20,21.0
31.03.20,20.0
01.04.20,27.0
02.04.20,22.0
03.04.20,37.0
04.04.20,20.0
05.04.20,29.0
06.04.20,16.0
07.04.20,34.0
08.04.20,35.0
09.04.20,29.0
10.04.20,26.0
11.04.20,35.0
12.04.20,34.0
13.04.20,31.0
14.04.20,32.0
15.04.20,32.0
16.04.20,30.0
17.04.20,28.0
18.04.20,30.0
19.04.20,27.0
20.04.20,21.0
21.04.20,27.0
22.04.20,23.0
23.04.20,35.0
24.04.20,34.0
25.04.20,26.0
26.04.20,23.0
27.04.20,25.0
28.04.20,20.0
29.04.20,25.0
30.04.20,16.0
01.05.20,18.0
02.05.20,16.0
03.05.20,20.0
04.05.20,20.0
05.05.20,11.0
06.05.20,15.0
07.05.20,16.0
08.05.20,9.0
09.05.20,12.0
10.05.20,9.0
11.05.20,9.0
12.05.20,19.0
13.05.20,12.0
14.05.20,9.0
15.05.20,6.0
16.05.20,13.0
17.05.20,15.0
18.05.20,13.0
19.05.20,16.0
20.05.20,16.0
21.05.20,14.0
22.05.20,12.0
23.05.20,13.0
24.05.20,14.0
25.05.20,14.0
26.05.20,12.0
27.05.20,14.0
28.05.20,13.0
29.05.20,14.0
30.05.20,13.0
31.05.20,14.0
01.06.20,14.0
02.06.20,12.0
03.06.20,11.0
04.06.20,8.0
05.06.20,10.0
06.06.20,9.0
07.06.20,5.0
08.06.20,6.0
09.06.20,7.0
10.06.20,5.0
11.06.20,7.0
12.06.20,1.0
13.06.20,7.0
14.06.20,5.0
15.06.20,3.0
16.06.20,2.0
17.06.20,1.0
18.06.20,1.0
19.06.20,3.0
20.06.20,1.0
21.06.20,2.0
22.06.20,4.0
23.06.20,6.0
24.06.20,3.0
25.06.20,6.0
26.06.20,6.0
27.06.20,6.0
28.06.20,3.0
29.06.20,4.0
30.06.20,8.0
01.07.20,3.0
02.07.20,8.0
03.07.20,11.0
04.07.20,7.0
05.07.20,9.0
06.07.20,6.0
07.07.20,9.0
08.07.20,2.0
09.07.20,13.0
10.07.20,2.0
11.07.20,8.0
12.07.20,6.0
13.07.20,2.0
14.07.20,6.0
15.07.20,8.0
16.07.20,3.0
17.07.20,3.0
18.07.20,2.0
19.07.20,5.0
20.07.20,2.0
21.07.20,6.0
22.07.20,5.0
23.07.20,3.0
24.07.20,7.0
25.07.20,4.0
26.07.20,1.0
27.07.20,2.0
28.07.20,3.0
29.07.20,3.0
30.07.20,2.0
31.07.20,8.0
01.08.20,2.0
02.08.20,1.0
03.08.20,0.0
04.08.20,1.0
05.08.20,1.0
06.08.20,3.0
07.08.20,3.0
08.08.20,4.0
09.08.20,6.0
10.08.20,3.0
11.08.20,2.0
12.08.20,3.0
13.08.20,6.0
14.08.20,2.0
15.08.20,3.0
